Food Item,Energy (kcal),Protein (g),Fat (g),CHO (g),Fiber (g),Sugars (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg)
Bael fruit,569,2.63,0.57,28.21,6.31,16.35,1.56,47.95,0.23,7.5
"Banana, ripe, montham",463,1.25,0.32,24.95,2.21,14.9,1.25,6.77,0.4,8.06
"Banana, ripe, poovam",445,1.49,0.35,23.41,2.33,12.54,1.0,8.73,0.35,6.74
"Banana, ripe, red",467,1.29,0.29,25.21,1.98,14.57,1.11,9.56,0.24,6.74
"Banana, ripe, robusta",440,1.23,0.33,23.63,1.94,13.65,0.85,5.07,0.28,4.76
Black berry,227,0.92,0.63,10.64,4.35,7.61,1.21,23.81,0.63,19.45
"Cherries, red",250,1.49,0.46,11.87,2.12,10.72,1.64,23.88,0.36,8.82
"Currants, black",227,1.51,0.53,9.93,4.07,6.33,1.45,40.32,1.36,182.0
Custard apple,414,1.62,0.67,20.38,5.1,13.35,3.11,28.2,0.42,21.51
"Dates, dry, pale brown",1340,2.45,0.35,74.91,8.95,66.63,3.27,71.2,3.2,4.42
"Dates, dry, dark brown",1301,2.38,0.35,72.67,9.1,68.84,3.09,66.13,4.79,3.84
"Dates, processed",1197,1.18,0.41,67.95,6.52,56.96,1.6,15.73,0.89,15.51
Fig,341,2.03,0.37,16.28,4.64,8.64,2.37,78.52,0.69,16.92
Goosberry,99,0.34,0.16,4.39,7.75,3.39,1.37,20.14,1.25,252.0
"Grapes, seeded, round, black",254,0.76,0.32,13.23,1.35,10.02,1.93,10.57,0.22,18.3
"Grapes, seeded, round, green",235,0.77,0.29,12.19,1.25,9.59,1.89,11.16,0.24,17.1
"Grapes, seeded, round, red",244,0.95,0.29,12.55,1.28,10.47,1.59,11.27,0.33,20.59
"Grapes, seedless, oval, black",395,1.41,0.46,20.48,1.64,9.19,1.83,15.26,0.28,27.32
"Grapes, seedless, round, green",224,0.62,0.26,11.81,1.28,9.6,1.81,14.22,0.24,16.47
"Grapes, seedless, round, black",374,1.24,0.35,19.86,1.15,10.88,1.92,18.75,0.39,22.79
"Guava, white flesh",135,1.44,0.32,5.13,8.59,4.1,2.87,18.52,0.32,214.0
"Guava, pink flesh",195,1.19,0.25,9.14,7.39,7.79,1.89,14.22,0.4,222.0
"Jack fruit, ripe",302,2.74,0.15,14.01,3.62,12.21,1.62,35.03,0.36,6.73
"Jambu fruit, ripe",235,0.82,0.17,12.3,3.07,6.84,2.64,25.36,0.33,16.47
Karonda fruit,141,1.15,1.67,2.87,7.25,1.75,2.55,10.81,0.87,135.0
"Lemon, juice",153,0.41,0.75,0.0,0.0,2.59,1.21,22.68,0.12,48.16
"Lime, sweet, pulp",114,0.76,0.2,5.18,2.07,3.42,1.17,25.79,0.11,46.96
Litchi,225,0.99,0.26,11.41,1.34,9.3,0.54,5.77,0.79,33.82
"Mango, ripe, banganapalli",175,0.54,0.55,8.18,1.88,7.77,1.34,15.77,0.51,32.97
"Mango, ripe, gulabkhas",209,0.52,0.53,10.32,1.67,8.13,1.39,19.33,0.38,27.65
